source,target,weight
Bangladesh,Switzerland,6
Bangladesh,South Sudan,1
Bangladesh,Ethiopia,4
Bangladesh,Malta,2
Bangladesh,Argentina,3
Bangladesh,Kuwait,4
Bangladesh,Cameroon,1
Bangladesh,Nepal,5
Bangladesh,Serbia,3
Bangladesh,Egypt,5
Bangladesh,Congo (Kinshasa),1
Bangladesh,Niger,1
Bangladesh,India,6
Bangladesh,South Africa,6
Bangladesh,Gabon,1
Bangladesh,Uzbekistan,1
Bangladesh,Qatar,5
Bangladesh,Hungary,3
Bangladesh,Nigeria,4
Bangladesh,Laos,1
Bangladesh,Croatia,2
Bangladesh,Spain,5
Bangladesh,Slovenia,1
Bangladesh,Malaysia,6
Bangladesh,Angola,1
Bangladesh,Albania,1
Bangladesh,South Korea,6
Bangladesh,Japan,6
Bangladesh,Yemen,1
Bangladesh,Portugal,3
Bangladesh,Australia,6
Bangladesh,Kyrgyzstan,1
Bangladesh,Turkey,5
Bangladesh,Ghana,2
Bangladesh,Montenegro,1
Bangladesh,Mauritania,1
Bangladesh,Zimbabwe,2
Bangladesh,Uganda,3
Bangladesh,United Arab Emirates,6
Bangladesh,Georgia,2
Bangladesh,Sri Lanka,6
Bangladesh,China,6
Bangladesh,Pakistan,5
Bangladesh,Luxembourg,1
Bangladesh,Tajikistan,1
Bangladesh,Afghanistan,2
Bangladesh,Thailand,6
Bangladesh,Libya,2
Bangladesh,Moldova,1
Bangladesh,Belgium,3
Bangladesh,Hong Kong,6
Bangladesh,Singapore,6
Bangladesh,Norway,2
Bangladesh,Oman,4
Bangladesh,Jordan,4
Bangladesh,Tunisia,3
Bangladesh,Azerbaijan,2
Bangladesh,Mexico,1
Bangladesh,Poland,3
Bangladesh,Finland,1
Bangladesh,Lithuania,1
Bangladesh,Sweden,4
Bangladesh,Estonia,1
Bangladesh,Chad,1
Bangladesh,Ukraine,2
Bangladesh,New Zealand,2
Bangladesh,United States,6
Bangladesh,Italy,6
Bangladesh,Macedonia,1
Bangladesh,Djibouti,1
Bangladesh,Israel,1
Bangladesh,Indonesia,6
Bangladesh,Cote d'Ivoire,2
Bangladesh,Bosnia and Herzegovina,1
Bangladesh,Cambodia,1
Bangladesh,Seychelles,2
Bangladesh,France,6
Bangladesh,Turkmenistan,1
Bangladesh,Saudi Arabia,6
Bangladesh,Zambia,1
Bangladesh,Sudan,4
Bangladesh,Denmark,4
Bangladesh,Taiwan,3
Bangladesh,Iraq,4
Bangladesh,Morocco,4
Bangladesh,Brunei,1
Bangladesh,Philippines,5
Bangladesh,Vietnam,6
Bangladesh,Mauritius,1
Bangladesh,Burma,3
Bangladesh,Ireland,3
Bangladesh,Latvia,1
Bangladesh,Senegal,2
Bangladesh,Netherlands,5
Bangladesh,Iran,4
Bangladesh,Romania,3
Bangladesh,Tanzania,3
Bangladesh,Algeria,3
Bangladesh,Mongolia,1
Bangladesh,Cyprus,4
Bangladesh,Burkina Faso,1
Bangladesh,Canada,5
Bangladesh,Mozambique,1
Bangladesh,Brazil,5
Bangladesh,Fiji,1
Bangladesh,Greece,5
Bangladesh,Czech Republic,2
Bangladesh,Russia,6
Bangladesh,Rwanda,2
Bangladesh,Equatorial Guinea,1
Bangladesh,Kenya,4
Bangladesh,Somalia,1
Bangladesh,Germany,6
Bangladesh,United Kingdom,6
Bangladesh,Bulgaria,2
Bangladesh,Maldives,6
Bangladesh,Kazakhstan,2
Bangladesh,Austria,3
Madagascar,Ethiopia,1
Madagascar,Argentina,1
Madagascar,Malta,1
Madagascar,Cameroon,2
Madagascar,Serbia,1
Madagascar,South Africa,2
Madagascar,India,2
Madagascar,Hungary,1
Madagascar,Laos,1
Madagascar,Swaziland,1
Madagascar,Benin,2
Madagascar,Mali,2
Madagascar,Angola,2
Madagascar,Martinique,1
Madagascar,Malaysia,1
Madagascar,Slovenia,1
Madagascar,South Korea,1
Madagascar,Cuba,1
Madagascar,Japan,1
Madagascar,Australia,2
Madagascar,French Guiana,1
Madagascar,Lesotho,1
Madagascar,Dominican Republic,1
Madagascar,Mauritania,1
Madagascar,Uganda,2
